update,global_step,rollout_size,policy_loss,value_loss,entropy,approx_kl,explained_variance,activation_saturation,activation_abs_mean,max_action_probability
1,500,500,-0.016336202825186774,1.2826612517237663,1.785676535218954,0.006570139419636689,0.3689121603965759,0.00926953088492155,0.544191837310791,0.19461241364479065
2,1000,500,-0.00506337804836221,0.9084585132077336,1.7849549353122711,0.0033891301313815347,0.1931256651878357,0.009527343325316906,0.5383720993995667,0.21645309031009674
3,1500,500,-0.01451179500145372,0.44276253785938025,1.7669524550437927,0.009015798957989318,0.1487123966217041,0.009781249798834324,0.5402050614356995,0.22635889053344727
4,2000,500,-0.018323974509257823,1.8603646382689476,1.7684359066188335,0.01213669050775934,0.12838685512542725,0.012175781652331352,0.5384908318519592,0.2518067955970764
5,2500,500,-0.006080993334762752,2.064393635839224,1.7499247640371323,0.004063097123435,0.26919496059417725,0.007863281294703484,0.5476343631744385,0.28200873732566833
6,3000,500,-0.02247499895747751,3.4568978548049927,1.708137396723032,0.009951973872375675,0.1737501621246338,0.007308593951165676,0.5557792782783508,0.33929651975631714
7,3500,500,-0.012124987319111824,2.4751816280186176,1.6952372938394547,0.008609767421148717,0.5000131130218506,0.010996093973517418,0.5555031299591064,0.2874422073364258
8,4000,500,0.004811761202290654,1.9992017932236195,1.7389584071934223,0.0063393638265552,0.26577091217041016,0.005578124895691872,0.5683927536010742,0.3452286124229431
9,4500,500,-0.008185476734070107,2.4707108177244663,1.6938120536506176,0.0038343247360899113,0.47344911098480225,0.006398437544703484,0.5613428354263306,0.33060741424560547
10,5000,500,-0.015866412955801934,1.8829468339681625,1.699928317219019,0.006320208587567322,0.4946697950363159,0.0062421876937150955,0.5673457384109497,0.33230385184288025
